Genome,Phylum,Paper,Loaded,Complete,Chrs,Plasmids,Genes
Escherichia coli O157:H7 str. EC4206,Proteobacteria,,24-03-08,no,,,6539
Escherichia coli O157:H7 str. EC4401,Proteobacteria,,24-03-08,no,,,6175
Escherichia coli O157:H7 str. EC4486,Proteobacteria,,24-03-08,no,,,6406
Escherichia coli O157:H7 str. EC4501,Proteobacteria,,24-03-08,no,,,6208
Escherichia coli O157:H7 str. EC508,Proteobacteria,,24-03-08,no,,,6133
Escherichia coli O157:H7 str. EC869,Proteobacteria,,24-03-08,no,,,6118
Escherichia coli O157:H7 str. Sakai,Proteobacteria,,25-11-09,yes,1,2,5460
Escherichia coli O157:H7 str. TW14359,Proteobacteria,yes,25-11-09,yes,1,1,5595
Escherichia coli O157:H7 str. TW14588,Proteobacteria,,24-03-08,no,,,
Escherichia coli O26:H11 str. 11368,Proteobacteria,yes,25-11-09,yes,1,3,5986
Escherichia coli O55:H7 str. CB9615,Proteobacteria,yes,24-05-10,yes,1,1,5371
Escherichia coli S88,Proteobacteria,,21-04-09,yes,1,1,5196
Escherichia coli SE11,Proteobacteria,,21-04-09,yes,1,6,5109
Escherichia coli SECEC SMS-3-5,Proteobacteria,,25-11-09,yes,1,4,5128
Escherichia coli str. K-12 substr. DH10B,Proteobacteria,yes,21-04-09,yes,1,0,4357
Escherichia coli str. K-12 substr. MG1655,Proteobacteria,yes,25-11-09,yes,1,0,4497
Escherichia coli UMN026,Proteobacteria,,21-04-09,yes,1,2,5301
Escherichia coli UTI89,Proteobacteria,yes,12-04-06,yes,1,1,5276
Escherichia coli W3110,Proteobacteria,,12-04-06,yes,1,0,4449
Escherichia fergusonii ATCC 35469,Proteobacteria,,25-11-09,yes,1,1,4550
Escherichia sp. 3_2_53FAA,Proteobacteria,,21-04-09,no,,,
Escherichia sp. 4_1_40B,Proteobacteria,,21-04-09,no,,,
Eubacterium biforme DSM 3989,Firmicutes,,21-04-09,no,,,2578
Eubacterium dolichum DSM 3991,Firmicutes,,24-03-08,no,,,2395
Eubacterium eligens ATCC 27750,Firmicutes,yes,25-11-09,yes,1,2,2830
Eubacterium hallii DSM 3353,Firmicutes,,21-04-09,no,,,
Eubacterium rectale ATCC 33656,Firmicutes,yes,25-11-09,yes,1,0,3698
Eubacterium siraeum DSM 15702,Firmicutes,,24-03-08,no,,,2769
Exiguobacterium sibiricum 255-15,Firmicutes,,25-11-09,yes,1,2,3155
Exiguobacterium sp. AT1b,Firmicutes,,25-11-09,yes,1,0,3141
Faecalibacterium prausnitzii M21/2,Firmicutes,,24-03-08,no,,,3572
"Ferrimonas balearica PAT, DSM 9799",Proteobacteria,,16-11-10,no,,,3947
Fervidobacterium nodosum Rt17-B1,Thermotogae,,24-03-08,yes,1,0,1847
Fibrobacter succinogenes subsp. succinogenes S85,Fibrobacteres,,25-11-09,yes,1,0,3188
Finegoldia magna ATCC 29328,Firmicutes,yes,21-04-09,yes,1,1,1873
Flavobacteria bacterium BAL38,Bacteroidetes,,24-03-08,no,,,2654
Flavobacteria bacterium BBFL7,Bacteroidetes,,08-05-07,no,,,2622
Flavobacteriaceae bacterium 3519-10,Bacteroidetes,,25-11-09,yes,1,0,2582
Flavobacteriales bacterium ALC-1,Bacteroidetes,,24-03-08,no,,,3498
Flavobacteriales bacterium HTCC2170,Bacteroidetes,,08-05-07,no,,,3526
Flavobacterium johnsoniae UW101,Bacteroidetes,,24-03-08,yes,1,0,5137
Flavobacterium psychrophilum JIP02/86,Bacteroidetes,,24-03-08,yes,1,0,2499
"Flexibacter litoralis Fx l1, DSM 6794",Bacteroidetes,,16-11-10,no,,,4125
Flexibacter tractuosus DSM 4126,Bacteroidetes,,16-11-10,no,,,3857
"Flexistipes sinusarabici MAS10, DSM 4947",Deferribacteres,,16-11-10,no,,,2520
"Fluviicola taffensis RW262, DSM 16823",Bacteroidetes,,16-11-10,no,,,4131
Francisella novicida FTE,Proteobacteria,,21-04-09,no,,,1820
Francisella novicida FTG,Proteobacteria,,21-04-09,no,,,1780
Francisella philomiragia subsp. philomiragia ATCC 25015,Proteobacteria,,21-04-09,no,,,
Francisella philomiragia subsp. philomiragia ATCC 25017,Proteobacteria,,25-11-09,yes,1,2,1976
Francisella tularensis subsp. holarctica,Proteobacteria,,12-04-06,yes,1,0,2020
Francisella tularensis subsp. holarctica FSC022,Proteobacteria,,24-03-08,no,,,
Francisella tularensis subsp. holarctica FSC200,Proteobacteria,,08-05-07,no,,,2039
Francisella tularensis subsp. holarctica FTA,Proteobacteria,,24-03-08,yes,1,0,2233
Francisella tularensis subsp. holarctica OSU18,Proteobacteria,,22-11-06,yes,1,0,1932
Francisella tularensis subsp. mediasiatica FSC147,Proteobacteria,,21-04-09,yes,1,0,1750
Francisella tularensis subsp. novicida GA99-3548,Proteobacteria,,24-03-08,no,,,
Francisella tularensis subsp. novicida GA99-3549,Proteobacteria,,24-03-08,no,,,
Francisella tularensis subsp. novicida U112,Proteobacteria,,08-05-07,yes,1,0,1781
Francisella tularensis subsp. tularensis FSC 198,Proteobacteria,,22-11-06,yes,1,0,1852
Francisella tularensis subsp. tularensis FSC033,Proteobacteria,,24-03-08,no,,,
Francisella tularensis subsp. tularensis MA00-2987,Proteobacteria,,21-04-09,no,,,1800
Francisella tularensis subsp. tularensis SCHU S4,Proteobacteria,yes,24-05-10,yes,1,0,1852
Francisella tularensis subsp. tularensis WY96-3418,Proteobacteria,yes,24-03-08,yes,1,0,1852
Frankia alni ACN14a,Actinobacteria,,22-11-06,yes,1,0,6786
Frankia sp. CcI3,Actinobacteria,,12-04-06,yes,1,0,4618
Frankia sp. EAN1pec,Actinobacteria,,25-11-09,yes,1,0,7377
Fulvimarina pelagi HTCC2506,Proteobacteria,,08-05-07,no,,,3812
Fusobacterium gonidiaformans ATCC 25563,Fusobacteria,,21-04-09,no,,,
Fusobacterium mortiferum ATCC 9817,Fusobacteria,,21-04-09,no,,,
Fusobacterium nucleatum subsp. nucleatum ATCC 25586,Fusobacteria,yes,,yes,1,0,2179
Fusobacterium nucleatum subsp. polymorphum ATCC 10953,Fusobacteria,,25-11-09,no,,,1550
Fusobacterium nucleatum subsp. vincentii ATCC 49256,Fusobacteria,yes,08-05-07,no,,,2305
Fusobacterium sp. 2_1_31,Fusobacteria,,21-04-09,no,,,
Fusobacterium sp. 3_1_5R,Fusobacteria,,21-04-09,no,,,
Fusobacterium sp. 4_1_13,Fusobacteria,,21-04-09,no,,,
Fusobacterium sp. 7_1,Fusobacteria,,21-04-09,no,,,
Fusobacterium sp. D12,Fusobacteria,,21-04-09,no,,,
Fusobacterium ulcerans ATCC 49185,Fusobacteria,,21-04-09,no,,,
Gardnerella vaginalis 409-05,Actinobacteria,,24-05-10,yes,1,0,1341
Gardnerella vaginalis ATCC 14019,Actinobacteria,,21-04-09,no,,,
Gemella haemolysans ATCC 10379,Firmicutes,,21-04-09,no,,,
Gemmata obscuriglobus UQM 2246,Planctomycetes,,24-03-08,no,,,8080
Gemmatimonas aurantiaca T-27,Gemmatimonadetes,,25-11-09,yes,1,0,3989
Geobacillus kaustophilus HTA426,Firmicutes,yes,25-08-05,yes,1,1,3654
Geobacillus sp. G11MC16,Firmicutes,,21-04-09,no,,,3694
Geobacillus sp. WCH70,Firmicutes,,25-11-09,yes,1,2,3598
Geobacillus sp. Y412MC10,Firmicutes,,25-11-09,yes,1,0,6445
Geobacillus sp. Y412MC61,Firmicutes,,25-11-09,yes,1,1,3718
Geobacillus thermodenitrificans NG80-2,Firmicutes,yes,24-03-08,yes,1,1,3590
Geobacter bemidjiensis Bem,Proteobacteria,,25-11-09,yes,1,0,4126
Geobacter lovleyi SZ,Proteobacteria,,25-11-09,yes,1,1,3780
Geobacter metallireducens GS-15,Proteobacteria,,18-01-06,yes,1,1,3639
Geobacter sp. FRC-32,Proteobacteria,,25-11-09,yes,1,0,3901
Geobacter sp. M21,Proteobacteria,,25-11-09,yes,1,0,4227
Geobacter sulfurreducens PCA,Proteobacteria,yes,,yes,1,0,3552
Geobacter uraniumreducens Rf4,Proteobacteria,,24-03-08,yes,1,0,4490
Geodermatophilus obscurus DSM 43160,Actinobacteria,,24-05-10,yes,1,0,5155
"Gillisia limnaea R-8282, DSM 15749",Bacteroidetes,,16-11-10,no,,,3596
Glaciecola sp. HTCC2999,Proteobacteria,,21-04-09,no,,,2290
Gloeobacter violaceus PCC 7421,Cyanobacteria,yes,25-11-09,yes,1,0,4482
Gluconacetobacter diazotrophicus PAl 5,Proteobacteria,,21-04-09,yes,1,3,3720
Gluconobacter oxydans 621H,Proteobacteria,yes,25-08-05,yes,1,5,2731
Gordonia bronchialis DSM 43247,Actinobacteria,,25-11-09,yes,1,1,5002
Gramella forsetii KT0803,Bacteroidetes,,08-05-07,yes,1,0,3637
Granulibacter bethesdensis CGDNIH1,Proteobacteria,,22-11-06,yes,1,0,2498
Haemophilus ducreyi 35000HP,Proteobacteria,,29-06-04,yes,1,0,1838
Haemophilus influenzae 22.1-21,Proteobacteria,,24-03-08,no,,,2296
Haemophilus influenzae 22.4-21,Proteobacteria,,24-03-08,no,,,2355
Haemophilus influenzae 3655,Proteobacteria,,24-03-08,no,,,1999
Haemophilus influenzae 86-028NP,Proteobacteria,yes,24-03-08,yes,1,0,1899
Haemophilus influenzae PittAA,Proteobacteria,,24-03-08,no,,,2042
Haemophilus influenzae PittEE,Proteobacteria,yes,24-03-08,yes,1,0,1695
Haemophilus influenzae PittGG,Proteobacteria,yes,24-03-08,yes,1,0,1741
Haemophilus influenzae PittHH,Proteobacteria,,24-03-08,no,,,2023
Haemophilus influenzae PittII,Proteobacteria,,24-03-08,no,,,2093
Haemophilus influenzae R2846,Proteobacteria,,08-05-07,no,,,1691
Haemophilus influenzae R2866,Proteobacteria,,08-05-07,no,,,1817
Haemophilus influenzae R3021,Proteobacteria,,24-03-08,no,,,2151
Haemophilus influenzae Rd KW20,Proteobacteria,yes,,yes,1,0,1789
Haemophilus parasuis 29755,Proteobacteria,,24-03-08,no,,,2302
Haemophilus parasuis SH0165,Proteobacteria,yes,21-04-09,yes,1,0,2299
Haemophilus somnus 129PT,Proteobacteria,,22-11-06,yes,1,1,1874
Haemophilus somnus 2336,Proteobacteria,,25-11-09,yes,1,0,2065
Hahella chejuensis KCTC 2396,Proteobacteria,yes,18-01-06,yes,1,0,6863
Halanaerobium praevalens DSM 2228,Firmicutes,,16-11-10,no,,,2180
Haliangium ochraceum DSM 14365,Proteobacteria,,25-11-09,yes,1,0,6952
"Haliscomenobacter hydrossis O, DSM 1100",Bacteroidetes,,16-11-10,no,,,7304
"Halobacteroides halobius MD-1, DSM 5150",Firmicutes,,16-11-10,no,,,2593
Halorhodospira halophila SL1,Proteobacteria,,08-05-07,yes,1,0,2493
Halothermothrix orenii H 168,Firmicutes,,25-11-09,yes,1,0,2436
Halothiobacillus neapolitanus c2,Proteobacteria,,25-11-09,yes,1,0,2465
Helicobacter acinonychis str. Sheeba,Proteobacteria,,22-11-06,yes,1,1,1661
Helicobacter canadensis MIT 98-5491,Proteobacteria,,21-04-09,no,,,1713
Helicobacter cinaedi CCUG 18818,Proteobacteria,,21-04-09,no,,,2424
Helicobacter hepaticus ATCC 51449,Proteobacteria,yes,29-06-04,yes,1,0,1916
Helicobacter mustelae 12198,Proteobacteria,,24-05-10,yes,1,0,1469
Helicobacter pullorum MIT 98-5489,Proteobacteria,,21-04-09,no,,,2113
Helicobacter pylori 26695,Proteobacteria,yes,,yes,1,0,1630
Helicobacter pylori 98-10,Proteobacteria,,21-04-09,no,,,1566
Helicobacter pylori B128,Proteobacteria,,21-04-09,no,,,1770
Helicobacter pylori B38,Proteobacteria,,25-11-09,yes,1,0,1571
Helicobacter pylori G27,Proteobacteria,yes,21-04-09,yes,1,1,1581
Helicobacter pylori HPAG1,Proteobacteria,,22-11-06,yes,1,1,1586
Helicobacter pylori HPKX_438_AG0C1,Proteobacteria,yes,21-04-09,no,,,2939
Helicobacter pylori HPKX_438_CA4C1,Proteobacteria,yes,21-04-09,no,,,3962
Helicobacter pylori J99,Proteobacteria,yes,,yes,1,0,1535
Helicobacter pylori Shi470,Proteobacteria,,21-04-09,yes,1,0,1648
Heliobacterium modesticaldum Ice1,Firmicutes,yes,24-05-10,yes,1,0,3138
Herminiimonas arsenicoxydans,Proteobacteria,yes,24-03-08,yes,1,0,3361
Herpetosiphon aurantiacus ATCC 23779,Chloroflexi,,24-03-08,yes,1,2,5364
"Hippea maritima MH2, DSM 10411",Proteobacteria,,16-11-10,no,,,1761
Hirschia baltica ATCC 49814,Proteobacteria,,25-11-09,yes,1,1,3269
Hoeflea phototrophica DFL-43,Proteobacteria,,24-03-08,no,,,4407
Holdemania filiformis DSM 12042,Firmicutes,,21-04-09,no,,,4275
Hydrogenivirga sp. 128-5-R1-1,Aquificae,,24-03-08,no,,,3866
Hydrogenobacter thermophilus TK-6,Aquificae,,24-05-10,yes,1,0,1963
Hydrogenobaculum sp. Y04AAS1,Aquificae,,25-11-09,yes,1,0,1694
"Hymenobacter roseosalivarius AA-718, DSM 11622",Bacteroidetes,,16-11-10,no,,,4432
Hyphomonas neptunium ATCC 15444,Proteobacteria,,22-11-06,yes,1,0,3568
Idiomarina baltica OS145,Proteobacteria,,08-05-07,no,,,2660
Idiomarina loihiensis L2TR,Proteobacteria,yes,25-08-05,yes,1,0,2707
"Ilyobacter polytropus CuHBu1, DSM 2926",Fusobacteria,,16-11-10,no,,,3042
Intrasporangium calvum DSM 43043,Actinobacteria,,16-11-10,no,,,3699
"Isosphaera pallida IS1B, ATCC 43644",Planctomycetes,,16-11-10,no,,,3823
Janibacter sp. HTCC2649,Actinobacteria,,08-05-07,no,,,4152
Jannaschia sp. CCS1,Proteobacteria,,12-04-06,yes,1,1,4336
Janthinobacterium sp. Marseille,Proteobacteria,yes,24-03-08,yes,1,0,3750
Jonesia denitrificans DSM 20603,Actinobacteria,,25-11-09,yes,1,0,2638
Kangiella koreensis DSM 16069,Proteobacteria,,25-11-09,yes,1,0,2697
Kineococcus radiotolerans SRS30216,Actinobacteria,,24-03-08,no,,,202
Klebsiella pneumoniae 342,Proteobacteria,yes,21-04-09,yes,1,2,5936
Klebsiella pneumoniae NTUH-K2044,Proteobacteria,,25-11-09,yes,1,1,5386
Klebsiella pneumoniae subsp. pneumoniae MGH 78578,Proteobacteria,,24-03-08,yes,1,5,5305
Klebsiella variicola At-22,Proteobacteria,yes,24-05-10,yes,1,0,5213
Kocuria rhizophila DC2201,Actinobacteria,yes,09-10-08,yes,1,0,2415
Kordia algicida OT-1,Bacteroidetes,,24-03-08,no,,,4578
Kribbella flavida DSM 17836,Actinobacteria,,24-05-10,yes,1,0,7149
"Ktedonobacter racemifer SOSP1-21, DSM 44963",Chloroflexi,,16-11-10,no,,,12718
Kytococcus sedentarius DSM 20547,Actinobacteria,,25-11-09,yes,1,0,2694
Lactobacillus acidophilus NCFM,Firmicutes,yes,24-03-08,yes,1,0,1938
Lactobacillus brevis ATCC 367,Firmicutes,,22-11-06,yes,1,2,2351
Lactobacillus brevis subsp. gravesensis ATCC 27305,Firmicutes,,21-04-09,no,,,
Lactobacillus buchneri ATCC 11577,Firmicutes,,21-04-09,no,,,
Lactobacillus casei ATCC 334,Firmicutes,,22-11-06,yes,1,1,2929
Lactobacillus casei BL23,Firmicutes,,21-04-09,yes,1,0,3112
Lactobacillus crispatus ST1,Firmicutes,,24-05-10,yes,1,0,2100
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842,Firmicutes,,22-11-06,yes,1,0,2217
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365,Firmicutes,,22-11-06,yes,1,0,2040
Lactobacillus fermentum ATCC 14931,Firmicutes,,21-04-09,no,,,
Lactobacillus fermentum IFO 3956,Firmicutes,yes,21-04-09,yes,1,0,1912
Lactobacillus gasseri ATCC 33323,Firmicutes,,22-11-06,yes,1,0,1898
Lactobacillus gasseri JV-V03,Firmicutes,,21-04-09,no,,,
Lactobacillus gasseri MV-22,Firmicutes,,21-04-09,no,,,
Lactobacillus helveticus DPC 4571,Firmicutes,yes,24-03-08,yes,1,0,1838
Lactobacillus hilgardii ATCC 8290,Firmicutes,,21-04-09,no,,,
Lactobacillus jensenii 1153,Firmicutes,,21-04-09,no,,,
Lactobacillus jensenii JV-V16,Firmicutes,,21-04-09,no,,,
Lactobacillus johnsonii ATCC 33200,Firmicutes,,21-04-09,no,,,
Lactobacillus johnsonii FI9785,Firmicutes,yes,24-05-10,yes,1,2,1807
Lactobacillus johnsonii NCC 533,Firmicutes,yes,29-06-04,yes,1,0,1918
Lactobacillus paracasei subsp. paracasei 8700:2,Firmicutes,,21-04-09,no,,,3002
Lactobacillus paracasei subsp. paracasei ATCC 25302,Firmicutes,,21-04-09,no,,,
Lactobacillus plantarum JDM1,Firmicutes,yes,25-11-09,yes,1,0,3029
Lactobacillus plantarum subsp. plantarum ATCC 14917,Firmicutes,,21-04-09,no,,,
Lactobacillus plantarum WCFS1,Firmicutes,yes,08-05-07,yes,1,3,3185
Lactobacillus reuteri 100-23,Firmicutes,yes,24-03-08,no,,,2040
Lactobacillus reuteri DSM 20016,Firmicutes,,21-04-09,yes,1,0,2027
Lactobacillus reuteri JCM 1112,Firmicutes,yes,21-04-09,yes,1,0,1901
Lactobacillus reuteri MM4-1,Firmicutes,,21-04-09,no,,,
Lactobacillus reuteri SD2112,Firmicutes,,21-04-09,no,,,
Lactobacillus rhamnosus GG,Firmicutes,yes,25-11-09,yes,1,0,3016
Lactobacillus rhamnosus HN001,Firmicutes,,21-04-09,no,,,2864
Lactobacillus rhamnosus Lc 705,Firmicutes,yes,25-11-09,yes,1,1,3068
Lactobacillus ruminis ATCC 25644,Firmicutes,,21-04-09,no,,,
Lactobacillus sakei subsp. sakei 23K,Firmicutes,,18-01-06,yes,1,0,1963
Lactobacillus salivarius ATCC 11741,Firmicutes,,21-04-09,no,,,
Lactobacillus salivarius subsp. salivarius UCC118,Firmicutes,yes,12-04-06,yes,1,3,2182
Lactobacillus ultunensis DSM 16047,Firmicutes,,21-04-09,no,,,
Lactobacillus vaginalis ATCC 49540,Firmicutes,,21-04-09,no,,,
Lactococcus lactis subsp. cremoris MG1363,Firmicutes,,08-05-07,yes,1,0,2597
Lactococcus lactis subsp. cremoris SK11,Firmicutes,,22-11-06,yes,1,5,2742
Lactococcus lactis subsp. lactis Il1403,Firmicutes,yes,25-11-09,yes,1,0,2424
Lactococcus lactis subsp. lactis KF147,Firmicutes,yes,24-05-10,yes,1,1,2662
Laribacter hongkongensis HLHK9,Proteobacteria,yes,25-11-09,yes,1,0,3333
Lawsonia intracellularis PHE/MN1-00,Proteobacteria,,22-11-06,yes,1,3,1391
"Leadbetterella byssophila 4M15, DSM 17132",Bacteroidetes,,16-11-10,no,,,3645
Leeuwenhoekiella blandensis MED217,Bacteroidetes,,08-05-07,no,,,3781
Legionella longbeachae NSW150,Proteobacteria,,24-05-10,yes,1,0,3662
Legionella pneumophila str. Corby,Proteobacteria,,24-05-10,yes,1,0,3257
Legionella pneumophila str. Lens,Proteobacteria,yes,09-11-04,yes,1,1,3058
Legionella pneumophila str. Paris,Proteobacteria,yes,09-11-04,yes,1,1,3278
Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Proteobacteria,yes,09-11-04,yes,1,0,3003
Leifsonia xyli subsp. xyli str. CTCB07,Actinobacteria,yes,,yes,1,0,2376
Lentisphaera araneosa HTCC2155,Lentisphaerae,,24-03-08,no,,,5165
Leptolyngbya valderiana BDU 20041,Cyanobacteria,,24-03-08,no,,,12
Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)',Spirochaetes,yes,21-04-09,yes,2,1,3675
Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)',Spirochaetes,yes,21-04-09,yes,2,1,3775
Leptospira borgpetersenii serovar Hardjo-bovis JB197,Spirochaetes,,22-11-06,yes,2,0,3241
Leptospira borgpetersenii serovar Hardjo-bovis L550,Spirochaetes,,22-11-06,yes,2,0,3273
Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130,Spirochaetes,yes,19-10-04,yes,2,0,3761
Leptospira interrogans serovar lai str. 56601,Spirochaetes,yes,24-05-10,yes,2,0,3750
Leptothrix cholodnii SP-6,Proteobacteria,,21-04-09,yes,1,0,4445
Leptotrichia buccalis DSM 1135,Fusobacteria,,25-11-09,yes,1,0,2370
"Leptotrichia goodfellowii LB57, DSM 19756",Fusobacteria,,16-11-10,no,,,2355
Leuconostoc citreum KM20,Firmicutes,yes,21-04-09,yes,1,4,1903
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293,Firmicutes,,22-11-06,yes,1,1,2108
Limnobacter sp. MED105,Proteobacteria,,24-03-08,no,,,3285
Listeria grayi DSM 20601,Firmicutes,,21-04-09,no,,,
Listeria innocua Clip11262,Firmicutes,yes,25-11-09,yes,1,1,3145
Listeria monocytogenes 08-5578,Firmicutes,,24-05-10,yes,1,1,3161
Listeria monocytogenes 08-5923,Firmicutes,,24-05-10,yes,1,0,3039
Listeria monocytogenes 10403S,Firmicutes,,08-05-07,no,,,2823
Listeria monocytogenes EGD-e,Firmicutes,yes,,yes,1,0,2940
Listeria monocytogenes F6900,Firmicutes,,08-05-07,no,,,2589
Listeria monocytogenes Finland 1988,Firmicutes,,21-04-09,no,,,2740
Listeria monocytogenes FSL F2-515,Firmicutes,,08-05-07,no,,,2812
Listeria monocytogenes FSL J1-175,Firmicutes,,08-05-07,no,,,2391
Listeria monocytogenes FSL J1-194,Firmicutes,,08-05-07,no,,,2600
Listeria monocytogenes FSL J1-208,Firmicutes,,08-05-07,no,,,2814
Listeria monocytogenes FSL J2-003,Firmicutes,,08-05-07,no,,,2439
Listeria monocytogenes FSL J2-064,Firmicutes,,08-05-07,no,,,2666
Listeria monocytogenes FSL J2-071,Firmicutes,,24-03-08,no,,,2400
Listeria monocytogenes FSL N1-017,Firmicutes,,08-05-07,no,,,2831
Listeria monocytogenes FSL N3-165,Firmicutes,,08-05-07,no,,,2828
Listeria monocytogenes FSL R2-503,Firmicutes,,08-05-07,no,,,2196
Listeria monocytogenes FSL R2-561,Firmicutes,,21-04-09,no,,,2993
Listeria monocytogenes HCC23,Firmicutes,,21-04-09,yes,1,0,3059
Listeria monocytogenes HPB2262,Firmicutes,,08-05-07,no,,,2835
Listeria monocytogenes J0161,Firmicutes,,08-05-07,no,,,2882
Listeria monocytogenes J2818,Firmicutes,,08-05-07,no,,,2793
Listeria monocytogenes LO28,Firmicutes,,08-05-07,no,,,2456
Listeria monocytogenes serotype 4b str. CLIP 80459,Firmicutes,,09-11-10,yes,1,0,2966
Listeria monocytogenes str. 1/2a F6854,Firmicutes,yes,08-05-07,no,,,2971
Listeria monocytogenes str. 4b F2365,Firmicutes,yes,08-05-07,yes,1,0,2934
Listeria monocytogenes str. 4b H7858,Firmicutes,yes,08-05-07,no,,,3199
Listeria seeligeri serovar 1/2b str. SLCC3954,Firmicutes,yes,24-05-10,yes,1,0,2807
Listeria welshimeri serovar 6b str. SLCC5334,Firmicutes,,22-11-06,yes,1,0,2864
Loktanella vestfoldensis SKA53,Proteobacteria,,08-05-07,no,,,3109
Lyngbya sp. PCC 8106,Cyanobacteria,,08-05-07,no,,,6185
Lysinibacillus sphaericus C3-41,Firmicutes,yes,21-04-09,yes,1,1,4972
Macrococcus caseolyticus JCSC5402,Firmicutes,yes,21-04-09,yes,1,8,2113
Magnetococcus sp. MC-1,Proteobacteria,,22-11-06,yes,1,0,3815
Magnetospirillum magneticum AMB-1,Proteobacteria,yes,18-01-06,yes,1,0,4611
Magnetospirillum magnetotacticum MS-1,Proteobacteria,,08-05-07,no,,,10146
"Mahella australiensis 50-1 BON, DSM 15567",Firmicutes,,16-11-10,no,,,3012
Mannheimia succiniciproducens MBEL55E,Proteobacteria,yes,09-11-04,yes,1,0,2448
Maricaulis maris MCS10,Proteobacteria,,22-11-06,yes,1,0,3133
"Marinithermus hydrothermalis T1, DSM 14884",Deinococcus-Thermus,,16-11-10,no,,,2441
Marinobacter algicola DG893,Proteobacteria,,24-03-08,no,,,4179
Marinobacter aqueolei,Proteobacteria,,24-03-08,yes,1,2,4390
Marinobacter sp. ELB17,Proteobacteria,,24-03-08,no,,,4904
Marinomonas sp. MED121,Proteobacteria,,08-05-07,no,,,4908
Marinomonas sp. MWYL1,Proteobacteria,,25-11-09,yes,1,0,4598
Mariprofundus ferrooxydans PV-1,Proteobacteria,,08-05-07,no,,,2913
Meiothermus ruber DSM 1279,Deinococcus-Thermus,,24-05-10,yes,1,0,3105
Mesoplasma florum L1,Tenericutes,,,yes,1,0,717
Mesorhizobium loti MAFF303099,Proteobacteria,yes,25-11-09,yes,1,2,7333
Mesorhizobium sp. BNC1,Proteobacteria,,22-11-06,yes,1,3,4684
Methylacidiphilum infernorum V4,Verrucomicrobia,,21-04-09,yes,1,0,2524
Methylibium petroleiphilum PM1,Proteobacteria,yes,08-05-07,yes,1,1,4546
Methylobacillus flagellatus KT,Proteobacteria,,22-11-06,yes,1,0,2822
Methylobacterium chloromethanicum CM4,Proteobacteria,,25-11-09,yes,1,2,5854
Methylobacterium extorquens AM1,Proteobacteria,yes,25-11-09,yes,1,4,6349
Methylobacterium extorquens DM4,Proteobacteria,yes,25-11-09,yes,1,2,6035
Methylobacterium extorquens PA1,Proteobacteria,,24-03-08,yes,1,0,4956
Methylobacterium nodulans ORS 2060,Proteobacteria,,25-11-09,yes,1,7,8908
Methylobacterium populi BJ001,Proteobacteria,,25-11-09,yes,1,2,5546
Methylobacterium radiotolerans JCM 2831,Proteobacteria,,21-04-09,yes,1,8,6626
Methylobacterium sp. 4-46,Proteobacteria,,25-11-09,yes,1,2,7145
Methylocella silvestris BL2,Proteobacteria,,21-04-09,yes,1,0,3977
Methylococcus capsulatus str. Bath,Proteobacteria,yes,08-05-07,yes,1,0,3052
Methylophaga sp. DMS010,Proteobacteria,,21-04-09,no,,,
Methylophilales bacterium HTCC2181,Proteobacteria,,08-05-07,no,,,1377
Methylotenera mobilis JLW8,Proteobacteria,,25-11-09,yes,1,0,2403
Methylovorus sp. SIP3-4,Proteobacteria,,25-11-09,yes,1,2,2979
Microcystis aeruginosa NIES-843,Cyanobacteria,yes,24-03-08,yes,1,0,6364
Micromonospora sp. ATCC 39149,Actinobacteria,,21-04-09,no,,,
Microscilla marina ATCC 23134,Bacteroidetes,,08-05-07,no,,,8445
Mitsuokella multacida DSM 20544,Firmicutes,,21-04-09,no,,,2749
Mobiluncus curtisii ATCC 43063,Actinobacteria,,21-04-09,no,,,
Mollicutes bacterium D7,Firmicutes,,21-04-09,no,,,
Moorella thermoacetica ATCC 39073,Firmicutes,,18-01-06,yes,1,0,2613
Moritella sp. PE36,Proteobacteria,,24-03-08,no,,,4935
"Mucilaginibacter paludis TPT56, DSM 18603",Bacteroidetes,,16-11-10,no,,,7081
"Muricauda ruestringensis B1, DSM 13258",Bacteroidetes,,16-11-10,no,,,3568
Mycobacterium abscessus ATCC 19977,Actinobacteria,yes,24-05-10,yes,1,1,4991
Mycobacterium avium 104,Actinobacteria,,08-05-07,yes,1,0,5313
Mycobacterium avium subsp. avium ATCC 25291,Actinobacteria,,21-04-09,no,,,
Mycobacterium avium subsp. paratuberculosis str. k10,Actinobacteria,yes,29-06-04,yes,1,0,4399
Mycobacterium bovis AF2122/97,Actinobacteria,yes,29-06-04,yes,1,0,4003
Mycobacterium bovis BCG str. Pasteur 1173P2,Actinobacteria,,08-05-07,yes,1,0,4036
Mycobacterium bovis BCG str. Tokyo 172,Actinobacteria,yes,25-11-09,yes,1,0,4030
Mycobacterium flavescens PYR-GCK,Actinobacteria,,25-11-09,yes,1,3,5669
